id,famille,nom,energie,proteines,lipides,dontAGS,glucides,sucre,fibres,sodium,calcium,magnesium,fer,vitamineC,vitamineD,eau,allergene,vegetarien,visuel
189,Boissons rafraechissantes sans alcool,"boisson e l'eau minerale (ou de source) sucree et aromatisee, areme agrumes",4.44,0,0,0,1.11,1.11,0,1.2,11.7,2.3,0,0,0,98.9,,,soda
190,Boissons rafraechissantes sans alcool,"boisson e l'eau minerale (ou de source) sucree et aromatisee, areme autre qu'agrumes",18.3,0,0,0,4.58,4.58,0,1.2,11.7,2.3,0,0,0,95.4,,,soda
191,Boissons rafraechissantes sans alcool,boisson au jus de fruit et au lait,49.8,0.635,"< 0,1",0.0239,11.7,10.8,0,11.4,57.4,8.1,0.2,2.9,"< 0,5",87.2,,,soda
192,Boissons rafraechissantes sans alcool,"boisson au soja ou tonyu, nature",44.3,2.9,2.04,0.275,3.31,2.81,0,22.3,15.7,16.4,0.414,0,0.18,91.3,,,soda
193,Boissons rafraechissantes sans alcool,"boisson au the, aromatisee, ""light""",1.92,0,0,0,0.481,0,0,17,0,2.3,0,0,0,99.5,,,soda
194,Boissons rafraechissantes sans alcool,"boisson au the, aromatisee, sucree",27.4,0,0,0,6.84,6.84,0,15.7,"< 2,72",1.2,0.00985,0,0,93.1,,,soda
195,Boissons rafraechissantes sans alcool,"boisson cacaotee sucree, au lait",77.1,3.52,2.34,1.43,10,9.66,1,44,114,23,0.42,0.2,1.1,82.5,,,soda
196,Boissons rafraechissantes sans alcool,boisson energisante,47.6,0,0,0,11.6,11.6,0,17,0,0,0,0,0,88,,,soda
197,Boissons rafraechissantes sans alcool,"boisson gazeuse e la pomme (de 50 e 99% de fruits), sans sucre ajoute",48.6,0,0.325,0,11.2,10,0,7.78,2.92,1.94,0.1,0,0,88,,,soda
198,Boissons rafraechissantes sans alcool,"boisson gazeuse e l'orange avec pulpe (environ 14% de fruits), sucree",40,"< 0,1","< 0,1",0.00599,9.62,9.62,0,4.37,4.62,2.66,0.0251,11,0,89.7,,,soda
199,Boissons rafraechissantes sans alcool,"boisson gazeuse aux fruits (e moins de 10% de jus), ""light""",2.42,0,0.00444,0,0.337,0.337,0.00444,11.3,0,0,0,0,0,99.2,,,soda
200,Boissons rafraechissantes sans alcool,"boisson gazeuse aux fruits (e moins de 10% de jus), sucree",37.5,"< 0,1","< 0,1",0,8.95,8.95,0.0117,0,0,2,0,0,0,90.4,,,soda
201,Boissons rafraechissantes sans alcool,"boisson gazeuse aux fruits (de 10 e 50% de jus), sucree",43,0,0,0,10.5,10.5,0,5.52,"< 6,17",3.36,0.035,0,0,89.1,,,soda
202,Boissons rafraechissantes sans alcool,"boisson plate e l'orange (10 e 50% de jus), sucree",42.6,0.1,"< 0,1",0,10.2,10.2,0,2.9,2.5,2.4,0.1,10.3,0,89.3,,,soda
203,Boissons rafraechissantes sans alcool,boisson plate e l'orange (teneur en jus non specifiee),35.9,"< 0,1","< 0,1",0,8.55,8.55,0.05,5.18,8.98,2.98,0.0205,8.67,0,90.8,,,soda
204,Boissons rafraechissantes sans alcool,"boisson plate aux fruits (10 e 50% de jus), e teneur reduite en sucre",19.6,0,0,0,4.68,3.97,0,14.9,0,0,0,0,0,95,,,soda
205,Boissons rafraechissantes sans alcool,"boisson plate aux fruits exotiques (10 e 50% de jus), sucree",45.7,0.08,0.01,0,11.1,10.6,0,2.28,5.08,5.85,0,4,0,88.4,,,soda
206,Boissons rafraechissantes sans alcool,"limonade ou clear lime, sucree",40.8,0,0,0,9.92,8.46,0,6.32,6.52,"< 0,583",0.00918,0,0,89.6,,,soda
207,Boissons rafraechissantes sans alcool,"sirop, dilue",31.1,0.055,0,0,7.68,7.68,0,4.94,7.55,2.71,0.025,1.3,0,92.2,,,soda
208,Boissons rafraechissantes sans alcool,"soda au cola, ""light""",1.28,0.0367,0.003,0,0.263,0,0,6.87,"< 3,76",2.38,0.0433,0,0,99.6,,,soda
209,Boissons rafraechissantes sans alcool,"soda au cola, e teneur reduite en sucre",19.5,0,0,0,4.73,3.73,0,4,0,0,0,0,0,95,,,soda
210,Boissons rafraechissantes sans alcool,"soda au cola, sucre",41,0.0233,0,0,9.95,9.95,0,5.42,"< 3,46",2.44,0.0367,0,0,89.5,,,soda
211,Boissons rafraechissantes sans alcool,"soda sans jus de fruit, ""light""",0.579,0,0,0,0,0,0,10,20,0,0.05,0,0,99.9,,,soda
212,Boissons rafraechissantes sans alcool,tonic,30.4,0,0,0,7.31,7.32,0,3.1,7.48,2.45,0.03,0,0,92.2,,,soda
213,Bouillons prets e consommer,"bouillon de legumes, deshydrate reconstitue",4.75,0.3,0.15,0.0189,0.55,0.1,0,295,1,2,0.1,0,0,98,,,bouillon
214,Bouillons prets e consommer,"bouillon de viande et legumes, pret e consommer",6.8,0.7,0.4,0.0633,0.1,0,0,222,1,2,0.1,0,0,98.1,,,bouillon
215,Bouillons prets e consommer,"bouillon de viande, deshydrate reconstitue",8.04,1.11,0.4,0.0633,0,0.133,0,460,6,1.5,0.192,0,0,97.5,,,bouillon
216,Bouillons prets e consommer,"bouillon de volaille, deshydrate reconstitue",9.16,0.495,0.5,0.07,0.67,0.6,0,420,5.5,1.5,0.025,0,0,97.1,,,bouillon
217,"Cafe, the, infusions, boissons au cacao","boisson cacaotee sucree, soluble reconstituee",70.2,3.4,1.42,0.807,10.1,9.56,1.7,46.2,97.1,27.5,0.869,0,0.01,82.6,,,cafe
218,"Cafe, the, infusions, boissons au cacao","boisson cacaotee sucree, soluble reconstituee, enrichie en vitamines",75.9,3.4,1.71,0.986,11.6,11.3,"< 0,5",54,109,19,0.5,2.09,0.01,82.6,,,cafe
219,"Cafe, the, infusions, boissons au cacao","cacao, non sucre, poudre soluble",404,19.8,19.7,7.5,9,0.875,28.7,21,73,376,10.9,0,0,2.83,,,cafe
220,"Cafe, the, infusions, boissons au cacao","cafe au lait, cafe creme ou cappuccino, non sucre",24.5,1.68,0.76,0.473,2.74,2.31,0,23.4,62.2,8.52,0.127,1.25,0.025,94.4,,,cafe
221,"Cafe, the, infusions, boissons au cacao","cafe decafeine, non sucre",1.34,0.2,0.06,0.0288,0,0.2,0,6,3.33,29.7,0.127,0.0667,0,99.1,,,cafe
222,"Cafe, the, infusions, boissons au cacao","cafe decafeine, soluble reconstitue, non sucre",0.24,0.06,0,0,0,0,0,2,2.5,4,0.02,0,0,99.1,,,cafe
223,"Cafe, the, infusions, boissons au cacao","cafe expresso, non sucre",1.85,0.26,0.09,0.0432,0,0.3,0,8,4,80,0.165,0.1,0,99,,,cafe
224,"Cafe, the, infusions, boissons au cacao","cafe noir, non sucre",0.488,0.107,0.00667,0.000667,0,0.2,0,1.85,"< 99,2",12,0.0278,0,0,99.4,,,cafe
225,"Cafe, the, infusions, boissons au cacao","cafe soluble reconstitue, non sucre",0.2,0.05,0,0,0,0,0,7.14,27.2,19.1,0.109,0,0,99.1,,,cafe
226,"Cafe, the, infusions, boissons au cacao","cafe, poudre soluble",299,17,0.17,0.0741,46.7,6.32,21.2,270,138,356,3.3,0,0,4.55,,,cafe
227,"Cafe, the, infusions, boissons au cacao","chicoree et cafe, poudre soluble",358,11.5,5.53,0.0855,58.2,16.5,14.5,196,116,199,4.38,0,0,3.3,,,cafe
228,"Cafe, the, infusions, boissons au cacao","chicoree, poudre soluble",311,4,0.07,0.0206,59.1,27.1,29.2,156,109,65,5.5,0,0,2.7,,,cafe
229,"Cafe, the, infusions, boissons au cacao",poudre cacaotee sucree pour boisson (poudre ou granules),390,6.15,3.84,2.15,79.5,59.2,6.58,44.3,80.5,111,11.8,1,0,1.45,,,cafe
230,"Cafe, the, infusions, boissons au cacao","poudre cacaotee sucree pour boisson, enrichie",380,3.5,2.63,1.59,82.9,80,5.3,3,34.5,72,2.2,30,0,2,,,cafe
231,"Cafe, the, infusions, boissons au cacao","poudre maltee, cacaotee et sucree pour boisson",397,9,5.66,0.634,76.6,65.4,1.7,239,243,162,4.7,48,"< 0,5",2.82,,,cafe
232,"Cafe, the, infusions, boissons au cacao","the infuse, non sucre",0.3,0.075,0,0,0,0,0,2.52,< 104,2.65,0.0444,0,0,99.7,,,the
233,"Cafe, the, infusions, boissons au cacao","tisane infusee, non sucree",0,0,0,0,0,0,0,0.667,2,1,0.09,0,0,99.7,,,the
234,Cereales petit dejeuner et barres cerealieres,"barre cerealiere ""equilibre"" au chocolat, enrichie en vitamines et mineraux",397,8.5,6.5,2.46,75.7,34.7,2,425,35,35,5.35,0,0,5,,,crereales
235,Cereales petit dejeuner et barres cerealieres,"barre cerealiere ""equilibre"" aux fruits, enrichie en vitamines et mineraux",382,8,6.5,0.679,72.8,33.1,1.75,425,30,20,5.75,50,0,8.9,,,crereales
236,Cereales petit dejeuner et barres cerealieres,"barre cerealiere e base de cereales pour petit dejeuner et de lait, enrichie en vitamines et mineraux",436,7,13.3,10.3,72,37.7,1.17,317,793,30,10.4,0,0,5,,,crereales
237,Cereales petit dejeuner et barres cerealieres,barre cerealiere aux amandes ou noisettes,451,7,18.5,9.08,63.2,27.9,2,100,100,40,0,0,0,7.5,,,crereales
238,Cereales petit dejeuner et barres cerealieres,barre cerealiere aux fruits,391,6.3,8.91,4.98,69.4,28.1,4.2,318,70,25,2.18,0.15,0,10,,,crereales
